NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Pangasinan,Binmaley,25893,15533,17,4,3,88006,Binmaley,178.96288613188844,0
Pangasinan,DagupanCity,65065,83636,21,18,6,174777,City of Dagupan,178.44886193754127,0
Pangasinan,Mangaldan,17424,34664,9,4,3,113302,Mangaldan,179.0204053865846,0
Pangasinan,SanCarlosCity,31812,19328,5,1,1,208330,City of San Carlos,168.72442998696135,0
Pangasinan,Calasiao,79504,68651,5,27,9,100686,Calasiao,173.04652262443233,0
Pangasinan,SantaBarbara,167641,37932,8,1,1,92420,Santa Barbara,171.62157323807932,0
Pangasinan,SanJacinto,34185,47795,8,1,1,44713,San Jacinto,178.50326777007393,0
Pangasinan,Mapandan,243432,305534,5,9,3,38228,Mapandan,171.78427011575673,0
Pangasinan,Manaoag,47710,45900,5,5,4,76606,Manaoag,171.90791059849846,0
Pangasinan,Binalonan,14528,774,11,2,1,56560,Binalonan,173.75861806706934,0
Pangasinan,Laoac,36967,8148,5,1,1,34550,Laoac,171.75439618757522,0
Pangasinan,UrdanetaCity,370650,189811,11,2,1,145935,City of Urdaneta,165.8655565601572,1
Pangasinan,Malasiqui,19282,20090,6,2,2,144344,Malasiqui,162.847941620471,0
Pangasinan,SanManuel,6419,6834,29,4,1,56876,San Manuel,178.64147214326388,0
Pangasinan,SanNicolas,7215,7601,577,3,1,39116,San Nicolas,178.4516417048276,0
NuevaVizcaya,SantaFe,7215,7601,577,3,1,18950,Santa Fe,178.4516417048276,0
Pangasinan,Asingan,151386,208095,5,1,1,58349,Asingan,164.4205442531351,0
Pangasinan,Tayug,91278,125313,4,1,1,45476,Tayug,163.0583039447786,0
Pangasinan,SantaMaria,111939,57429,12,11,5,30076,Santa Maria,157.71419268914445,0
Pangasinan,SanQuintin,35189,46703,7,4,2,5963,San Quintin,154.43368076433933,0
Pangasinan,Natividad,143455,126588,7,7,3,26721,Natividad,162.89895590309,0
NuevaEcija,Carranglan,110112,184211,4,4,2,43694,Carranglan,165.6318897247567,0
Pangasinan,Umingan,91641,167941,35,32,1,78940,Umingan,151.68369112745205,0
Zambales,SantaCruz,79857,40962,11,4,1,41296,Santa Cruz,186.98478263021792,0
Pangasinan,Infanta,162851,177474,8,11,3,26837,Infanta,184.18952154071104,0
Pangasinan,Aguilar,91499,128325,29,2,2,45363,Aguilar,166.27933954481503,0
Zambales,Candelaria,71727,85683,9,17,5,32182,Candelaria,167.87800521676428,0
Zambales,Masinloc,52234,56731,10,4,2,56579,Masinloc,160.88477280434816,0
Zambales,Palauig,88847,22056,28,11,2,43250,Palauig,154.53821444422607,0
Zambales,Iba,158200,96368,7,6,3,59580,Iba ,145.71032806444342,0
Zambales,Botolan,205570,241672,5,4,1,70340,Botolan,134.1845707963551,1
Pangasinan,Basista,109677,19269,10,15,4,37840,Basista,157.9698126567807,0
Pangasinan,Mangatarem,122030,101602,5,4,2,79648,Mangatarem,157.14342316162228,0
Pangasinan,Urbiztondo,30675,42767,8,1,1,56349,Urbiztondo,157.58864152715947,0
Pangasinan,Bayambang,190201,197662,7,22,6,129506,Bayambang,152.7153581580587,0
Pangasinan,Villasis,199928,172007,4,2,2,65086,Villasis,157.0961682083836,0
Pangasinan,Alcala,68642,84201,5,1,1,49479,Alcala,150.46238360950048,0
Pangasinan,SantoTomas,95093,39440,5,1,1,42777,Santo Tomas,149.86267395783443,0
Tarlac,SanManuel,127994,131319,9,17,8,56876,San Manuel,148.90444083633162,0
Pangasinan,Bautista,327389,271123,9,3,1,35728,Bautista,147.6390531930527,0
Tarlac,Moncada,14886,13542,12,2,1,66925,Moncada,143.73619428202497,0
Tarlac,SanClemente,273981,277582,6,1,1,13781,San Clemente,145.39117173518744,0
